58,19962,1,0,0,0,0,0,0,0.862,1,2.2265e+06,1.5259e+07,1.8568e+05,0.33974,0,6,11,4,0,0,0,15,2477.2,6,9,0.74304
98,19972,1,0,0,0,0,0,0,0.44,0,5.3795e+06,2.5425e+06,87810,0.13677,0,6,9,4,0,0,0,13,2161,7,6,0.1936
144,19962,1,0,0,0,0,0,0,1.444,0,8.6369e+06,2.6613e+06,70630,0.080547,0,8,8,7,0,0,0,15,1401.2,8,7,2.0851
137,19972,1,0,0,0,0,0,0,2.44,1,1.9852e+07,2.6416e+06,15260,0.1665,0,7,8,7,0,0,0,15,1360.4,7,8,5.9536
157,19962,1,0,0,0,0,0,0,1.739,0,8.6369e+06,2.0253e+06,43600,0.11362,0,7,8,5,0,0,0,13,2334.5,7,6,3.0241
78,19962,1,0,0,0,0,0,0,1.616,0,4.4471e+06,2.0253e+06,26680,0.090066,0,7,8,7,0,0,0,15,2074.6,7,8,2.6115
176,19972,1,0,0,0,0,0,0,1.107,0,2.6613e+06,3.2627e+06,1.0623e+05,0.086831,0,6,10,6,0,0,0,16,1191.7,5,11,1.2254
143,19962,1,0,0,1,0,0,0,0.668,0,8.6369e+06,5.9749e+06,4020,0.18083,0,4,5,10,0,0,0,15,1156.5,4,11,0.44622
27,19962,1,0,0,1,0,0,0,0.185,0,5.5232e+06,1.9852e+07,3.78e+05,0.5814,0,4,11,2,0,0,0,13,1733.9,4,9,0.034225
139,19962,1,0,0,0,0,0,0,2.579,1,1.9852e+07,6.5478e+06,22390,0.41271,0,7,8,9,0,0,0,17,1820.2,7,10,6.6512
18,19972,1,0,0,0,0,0,0,2.139,1,3.4304e+06,6.5478e+06,92680,0.22461,0,10,9,10,0,0,0,19,1753.4,9,10,4.5753
115,19962,1,0,0,0,0,0,0,1.825,0,4.1501e+06,2.0253e+06,10910,0.084051,0,5,6,7,0,0,0,13,2086,5,8,3.3306
28,19962,1,0,0,1,0,0,0,0.861,0,5.5232e+06,8.6369e+06,10610,0.089513,0,4,6,12,0,0,0,18,1136.6,4,14,0.74132
20,19962,1,0,0,1,0,0,0,0.37,0,5.5232e+06,7.082e+06,59109,0.39115,0,4,7,6,0,0,0,13,1501.4,4,9,0.1369
47,19962,1,0,0,0,0,0,0,0.621,0,7.082e+06,8.6369e+06,1.3378e+05,0.49689,0,8,8,2,0,0,0,10,1979.7,8,2,0.38564
10,19962,1,0,0,0,0,0,0,0.59,0,3.4304e+06,8.6369e+06,59740,0.055595,0,4,8,7,0,0,0,15,1368.4,4,11,0.3481
87,19972,1,0,0,0,0,0,0,1.979,1,5.3795e+06,1.5259e+07,86630,0.82088,0,10,9,6,0,0,0,15,1777.3,9,6,3.9164
